"OWT","Algorithm","a","b"
1,"OCI_Hu12",1.01178234714251,-0.0362783855311552
2,"OCI_Hu12",1.01304939105958,-0.162783742564705
3,"TC2_clean",1.03627506657925,-0.00244228971012405
4,"TC2_clean",1.06625357454459,0.00413844681327078
5,"TBA_Gil10",1.11617265809624,0.00823167760099618
6,"BR_Git11",1.05835550592352,-0.0429786608278881
7,"OCI_Hu12",1.01067909362211,-0.0348114325125886
8,"Gons08",1.12086415510498,-0.0414128246443623
9,"TC2_clean",1.02446687253128,-0.0266885582006367
10,"TBA_Git11",1.10161183205586,-0.00804882636597325
11,"TBA_Git11",1.062304774349,-0.0496631288352649
12,"TC2_turbid",1.04809506918526,-0.049725105600411
13,"TBA_Git11",1.05249128410355,-0.0418018685479532
14,"TC2_turbid",0.964851757201554,-0.0517008150836062
15,"TBA_Gil10",1.00754664376032,0.0627857704708816
16,"Bloom",1.06267960739168,-0.021674768998759
17,"Bloom",0.968865755394515,-0.0852638199492145
